0000093410;1879324765;236200000000;237428000000;144213000000;0;51359000000;171037000000;4074000000;3885000000;0;340244000000;92220000000;27314000000;3492000000;26530000000;1882000000;28329000000;1895000000;7670000000;4251000000;810000000;1813188;29078000000;370000000;4386784;15965000000;1083000000;0000093410;366000000;0;546000000;761000000;0;284000000;336000000;86641000;411514;153000000;1574000000;0;216000000;1374000000;14103000000;1
0000021344;4290276067;215914430571;86381000000;18981000000;6480000000;10838000000;8083000000;1372000000;1392000000;201000000;18921000000;0;10471000000;1801000000;26973000000;4276000000;20411000000;4314000000;8920000000;1545000000;0;2348000;5597000000;2575000;4054000;303000000;260000000;0000021344;153000000;2054000000;221000000;946000000;0;201000000;179000000;105000000;458000;94000000;339000000;0;144000000;0;0;1
0000070858;8728530308;270935450750;2434079000000;264810000000;161560000000;10561000000;0;9700000000;10100000000;1974000000;0;2169269000000;61777000000;5324000000;0;9390500000;0;9442900000;28808000000;11794000000;22196000000;94000000;18679000000;2600000000;157909315;1989000000;1763000000;0000070858;1701000000;0;1502000000;22345000000;3377000000;2100000000;1240000000;0;6660864;901000000;2009000000;4000000000000;1098000000;0;0;1
0001341439;3068682000;107880125000;108709000000;21785000000;20514000000;6252000000;6823000000;0;2098000000;1590000000;13075000000;0;13139000000;1928000000;18630000000;3211000000;46386000000;3294000000;10135000000;2315000000;1972000000;50000000;6464000000;1500000000;99000000;1300000000;519000000;0001341439;217000000;1564000000;350000000;1995000000;0;0;252000000;222000000;14000000;19000000;663000000;56000000;192000000;616000000;580000000;1
0000882095;1263636656;66400000000;61627000000;22525000000;11631000000;4502000000;1422000000;668000000;725000000;636000000;5924000000;0;9144000000;2339000000;9759000000;1270000000;30296000000;1277000000;5386000000;850000000;982000000;9600000;3355000000;450000000;17200000;217000000;117000000;0000882095;125000000;0;109000000;995000000;3393000000;636000000;100000000;19500000;300000;135000000;66000000;14000000;87000000;0;713000000;1
0000831001;2106486793;0;1951158000000;193242000000;0;0;0;4400000000;4400000000;0;0;1757212000000;0;5588000000;0;2249200000;0;2265300000;19401000000;3742000000;28682000000;14920917;35449000000;15350350;30194715;6500000000;695000000;0000831001;402000000;5336000000;572000000;29163000000;0;0;425000000;166650;1104448;323000000;942000000;500000;314000000;801000000;0;1
0000051143;888408023;122100000000;152186000000;20841000000;8172000000;10010000000;22018000000;4996000000;5259000000;679000000;32028000000;131202000000;14770000000;1139000000;37701000000;887235105;38420000000;892813376;9431000000;0;1685000000;5650861;12498000000;428000000;11326628;608000000;1198000000;0000051143;346000000;2286000000;928000000;1344000000;9042000000;679000000;673000000;0;981921;127000000;1541000000;855679;514000000;1486000000;4896000000;1
0000310158;2536268760;215106000000;84397000000;25907000000;9700000000;15053000000;17686000000;1100000000;1100000000;417000000;32739000000;682000000;13440000000;1687000000;22220000000;2565000000;27483000000;2580000000;9843000000;1131000000;0;4811000;3351000000;6594000;13527000;1100000000;200000000;0000310158;127000000;0;168000000;893000000;0;0;113000000;17868000;818000;200000000;281000000;2000000;89000000;0;3738000000;1
0001166691;4543590270;190526000000;352626000000;266765000000;5500000000;48322000000;53239000000;4200000000;4800000000;1021000000;101561000000;0;28423000000;4251000000;30292000000;4548000000;25392000000;4610000000;22562000000;5626000000;4254000000;17000000;0;0;51000000;1906000000;791000000;1166691;1020000000;9953000000;669000000;4567000000;1266000000;825000000;566000000;192000000;0;425000000;914000000;0;480000000;0;10826000000;1
0000354950;0;232300000000;51236000000;51729000000;2133000000;0;20564000000;5700000000;5894000000;251000000;18432000000;54352000000;13723000000;3473000000;18375000000;1093000000;19810000000;1097000000;11242000000;6680000000;1112000000;1652000;2451000000;303000000;3975000;0;875000000;0000354950;786000000;0;772000000;1201000000;0;0;677000000;5212000;322000;572000000;1003000000;1000000;579000000;955000000;7787000000;1
